Timestamp,Mention your age.,How often do you have Maggi?,What's your quantity of consumption  at a time?,Which noodle brand would you prefer after Maggi?,Do you add other ingredients to your Maggi?,"If Yes, then which ingredients?",Do you consider Maggi noodles as your Go-To meal?  ,Did Lead controversy brought decline in your consumption pattern of Maggi?,Do you find nutritive value in Maggi?,Would you prefer a pack of quantity more than 1 pkt and less than 2 pkts i.e. the pack  costing Rs.15/- for a single meal?,Do you prefer buying Maggi Masala-ae-Magic with Maggi noodles? ,Would you want Maggi to increase its tastemaker size at the cost of increased price?  
2021/06/07 9:38:40 PM GMT+5:30,18-26,Once in a week,1 PKT,Yippee,Yes,"Sauces;Spices(oregano, chili flakes, etc.)",Yes,"No, It's still the same",No,Yes,Yes,Yes
2021/06/07 9:43:34 PM GMT+5:30,18-26,Once in two weeks,1 PKT,Yippee,Yes,"Veggies;Sauces;Spices(oregano, chili flakes, etc.)",Yes,"Yes, It did",No,No,No,Yes
2021/06/07 9:44:47 PM GMT+5:30,18-26,Once in two weeks,2 PKTS,Yippee,Yes,"Spices(oregano, chili flakes, etc.);Other",No,"Yes, It did",No,No,Yes,Yes
2021/06/07 9:45:18 PM GMT+5:30,18-26,Less often,2 PKTS,Yippee,Yes,"Veggies;Spices(oregano, chili flakes, etc.);Cream/Cheese",No,"Yes, It did",No,No,Yes,Yes
2021/06/07 9:45:22 PM GMT+5:30,18-26,More than once in a week,2 PKTS,Yippee,No,Cream/Cheese,Yes,"No, It's still the same",No,Yes,No,No
2021/06/07 9:46:34 PM GMT+5:30,18-26,Once in a week,1 PKT,Yippee,Yes,Veggies,No,"No, It's still the same",No,No,No,Yes
2021/06/07 9:47:09 PM GMT+5:30,18-26,Once in a month,2 PKTS,Top Ramen,No,,No,"Yes, It did",No,Yes,No,No
2021/06/07 9:47:18 PM GMT+5:30,18-26,Once in a month,1 PKT,Knorr,Yes,"Veggies;Spices(oregano, chili flakes, etc.)",Yes,"No, It's still the same",No,Yes,Yes,No
2021/06/07 9:53:26 PM GMT+5:30,18-26,Once in a week,2 PKTS,Yippee,Yes,"Spices(oregano, chili flakes, etc.)",Yes,"No, It's still the same",Yes,No,Yes,Yes
2021/06/07 9:56:07 PM GMT+5:30,18-26,Once in a week,1 PKT,Ching's,Yes,Veggies,Yes,"Yes, It did",No,No,Yes,No
2021/06/07 9:56:10 PM GMT+5:30,18-26,Once in a week,1 PKT,Knorr,No,,No,"No, It's still the same",Yes,Yes,Yes,Yes
2021/06/07 9:58:32 PM GMT+5:30,18-26,Less often,1 PKT,Yippee,Yes,,No,"Yes, It did",No,No,No,Yes
2021/06/07 9:59:06 PM GMT+5:30,18-26,Once in two weeks,1 PKT,Other,Yes,"Sauces;Spices(oregano, chili flakes, etc.)",Yes,"No, It's still the same",No,Yes,Yes,Yes
2021/06/07 9:59:41 PM GMT+5:30,18-26,Once in two weeks,2 PKTS,Knorr,Yes,"Spices(oregano, chili flakes, etc.)",No,"No, It's still the same",No,No,No,No
2021/06/07 9:59:44 PM GMT+5:30,18-26,Once in a month,1 PKT,Other,Yes,"Veggies;Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"Yes, It did",No,Yes,Yes,Yes
2021/06/07 10:00:03 PM GMT+5:30,18-26,Less often,1 PKT,Yippee,Yes,"Veggies;Spices(oregano, chili flakes, etc.);Cream/Cheese",No,"No, It's still the same",No,No,Yes,Yes
2021/06/07 10:01:49 PM GMT+5:30,18-26,Once in two weeks,1 PKT,Top Ramen,Yes,"Veggies;Spices(oregano, chili flakes, etc.)",Yes,"No, It's still the same",No,Yes,Yes,Yes
2021/06/07 10:04:42 PM GMT+5:30,18-26,Once in a week,1 PKT,Yippee,Yes,Veggies;Cream/Cheese;Other,No,"No, It's still the same",No,Yes,Yes,Yes
